state,district,crop,soil_type,water_source,sowing_month,avg_temp,rainfall,yield_per_acre,market_price
Maharashtra,Pune,Tomato,Sandy Loam,Borewell,6,35,277,8.36,2332
Karnataka,Dharwad,Maize,Black,Rain-fed,11,32,47,2.16,2325
Tamil Nadu,Madurai,Wheat,Loamy,River,11,15,177,1.8,2000
Tamil Nadu,Coimbatore,Tomato,Black,Rain-fed,3,32,235,10.91,2712
Maharashtra,Nashik,Tomato,Red,Tank,5,38,64,6.45,2085
Tamil Nadu,Coimbatore,Potato,Black,Canal,11,33,129,12.58,1828
Tamil Nadu,Madurai,Potato,Sandy Loam,Tank,3,31,108,10.36,1516
Tamil Nadu,Madurai,Coconut,Black,Canal,9,14,43,45.24,29
Karnataka,Haveri,Chilli,Black,Borewell,11,32,254,1.69,17776
Karnataka,Mandya,Wheat,Sandy,Rain-fed,11,22,259,0.97,2621
Tamil Nadu,Salem,Maize,Sandy,Rain-fed,9,26,245,2.5,1587
Tamil Nadu,Madurai,Wheat,Loamy,Rain-fed,5,28,96,1.17,2175
Karnataka,Bangalore Urban,Potato,Clay,Borewell,5,33,288,11.68,2097
Karnataka,Dharwad,Rice,Red,River,2,23,57,2.06,2402
Maharashtra,Thane,Rice,Sandy,River,1,30,290,1.61,2103
Karnataka,Dharwad,Coconut,Sandy,Borewell,1,37,225,41.12,30
Maharashtra,Thane,Rice,Red,Canal,4,18,172,2.28,1976
Maharashtra,Thane,Rice,Sandy Loam,Tank,9,27,227,2.43,1859
Maharashtra,Nashik,Maize,Sandy Loam,Rain-fed,9,20,151,2.69,2060
Karnataka,Dharwad,Tomato,Sandy,Tank,2,32,122,7.64,2536
Karnataka,Mysore,Tomato,Sandy Loam,Canal,9,14,300,9.86,2662
Karnataka,Bangalore Urban,Wheat,Red,Rain-fed,12,15,171,1.57,3158
Karnataka,Bangalore Urban,Onion,Alluvial,Canal,3,15,210,8.6,2735
Maharashtra,Thane,Coconut,Sandy,Borewell,12,18,285,41.64,33
Tamil Nadu,Chennai,Rice,Sandy,Canal,11,21,291,1.89,2545
Tamil Nadu,Chennai,Coconut,Alluvial,Tank,11,34,48,59.35,32
Karnataka,Bangalore Urban,Wheat,Red,Canal,5,27,179,1.23,2675
Maharashtra,Nashik,Maize,Laterite,Tank,12,18,113,2.62,2383
Karnataka,Dharwad,Potato,Sandy,Canal,3,23,110,13.28,2135
Karnataka,Bangalore Urban,Potato,Loamy,Borewell,5,12,106,17.76,2070
Maharashtra,Thane,Onion,Alluvial,Canal,12,35,174,6.46,2062
Tamil Nadu,Coimbatore,Onion,Black,Tank,6,21,247,9.88,1778
Karnataka,Dharwad,Maize,Loamy,River,1,12,247,2.31,2162
Maharashtra,Pune,Tomato,Black,Canal,9,26,73,14.92,2533
Maharashtra,Pune,Maize,Loamy,Borewell,9,31,165,2.89,1600
Tamil Nadu,Coimbatore,Onion,Laterite,Rain-fed,10,23,151,7.97,2103
Tamil Nadu,Salem,Onion,Alluvial,Tank,3,15,169,7.54,2402
Tamil Nadu,Chennai,Rice,Loamy,Tank,12,31,97,2.06,2321
Maharashtra,Nagpur,Maize,Loamy,Canal,3,17,288,3.36,2121
Maharashtra,Nashik,Chilli,Sandy Loam,Tank,11,34,64,1.32,15664
Maharashtra,Thane,Rice,Sandy Loam,River,12,31,156,2.02,2389
Karnataka,Mandya,Onion,Clay,River,8,30,142,6.78,2732
Maharashtra,Nashik,Chilli,Sandy Loam,Borewell,4,35,55,1.5,13788
Maharashtra,Nashik,Rice,Loamy,Borewell,8,21,77,2.8,1883
Tamil Nadu,Salem,Onion,Red,Rain-fed,8,36,271,4.66,2157
Karnataka,Belagavi,Onion,Red,Rain-fed,2,29,94,5.98,2816
Tamil Nadu,Chennai,Potato,Sandy,Rain-fed,4,13,38,10.76,1666
Karnataka,Dharwad,Tomato,Black,Canal,3,31,126,11.46,2500
Karnataka,Bangalore Urban,Wheat,Clay,Canal,11,31,173,0.87,2440
Karnataka,Mandya,Potato,Black,Canal,9,33,58,12.81,2258
Tamil Nadu,Madurai,Potato,Alluvial,River,5,30,38,13.68,1508
Tamil Nadu,Madurai,Rice,Alluvial,Tank,1,26,73,2.64,2213
Tamil Nadu,Coimbatore,Chilli,Sandy,Rain-fed,5,35,201,1.07,13551
Tamil Nadu,Salem,Potato,Alluvial,Rain-fed,1,35,167,9.58,1501
Karnataka,Belagavi,Tomato,Loamy,Canal,6,24,113,14.57,2674
Tamil Nadu,Chennai,Coconut,Loamy,Tank,7,38,229,48.51,24
Tamil Nadu,Chennai,Potato,Sandy Loam,River,1,17,164,18.92,1724
Maharashtra,Thane,Maize,Alluvial,River,5,24,46,3.58,1904
Maharashtra,Pune,Potato,Loamy,Tank,2,16,130,16.84,1824
Karnataka,Bangalore Urban,Rice,Loamy,River,7,13,233,1.79,1925
Tamil Nadu,Coimbatore,Wheat,Red,River,10,36,258,0.69,2526
Karnataka,Mysore,Potato,Sandy Loam,Rain-fed,6,19,287,16.72,1721
Karnataka,Haveri,Onion,Black,Canal,7,25,201,9.63,2595
Karnataka,Haveri,Coconut,Laterite,Canal,10,33,149,50.52,34
Maharashtra,Nagpur,Onion,Sandy,Tank,1,30,125,5.62,2117
Maharashtra,Thane,Maize,Sandy Loam,Tank,4,35,132,2.19,1949
Maharashtra,Pune,Rice,Clay,Borewell,11,19,227,1.95,1934
Tamil Nadu,Chennai,Maize,Loamy,Borewell,10,28,134,3.24,2348
Tamil Nadu,Coimbatore,Tomato,Clay,Canal,4,30,210,10.02,2040
Maharashtra,Nagpur,Rice,Sandy Loam,Tank,7,13,130,1.4,1621
Tamil Nadu,Chennai,Rice,Sandy Loam,Tank,6,33,236,1.92,2012
Karnataka,Mandya,Onion,Black,Rain-fed,6,18,250,7.79,2392
Maharashtra,Nagpur,Wheat,Black,River,11,20,272,1.43,2538
Karnataka,Mandya,Chilli,Loamy,River,4,22,176,1.79,13817
Karnataka,Mandya,Wheat,Alluvial,Canal,7,38,278,0.72,2060
Maharashtra,Nashik,Maize,Sandy,Rain-fed,5,17,213,2.36,1923
Tamil Nadu,Coimbatore,Chilli,Laterite,River,4,34,236,1.3,12083
Maharashtra,Nashik,Tomato,Clay,Borewell,1,20,92,10.86,2281
Karnataka,Mysore,Maize,Laterite,River,4,36,197,2.2,2170
Karnataka,Haveri,Onion,Black,Borewell,4,26,47,9.15,2540
Karnataka,Mysore,Chilli,Sandy,Canal,12,13,58,0.95,20270
Tamil Nadu,Madurai,Coconut,Black,Tank,7,35,178,53.26,29
Tamil Nadu,Chennai,Rice,Loamy,Tank,10,22,133,2.6,2164
Maharashtra,Pune,Tomato,Laterite,Canal,5,30,250,10.12,2328
Karnataka,Bangalore Urban,Maize,Laterite,Canal,4,25,190,3.22,2371
Karnataka,Dharwad,Potato,Loamy,Borewell,1,31,227,13.87,2057
Maharashtra,Pune,Rice,Sandy,Canal,6,27,105,2.24,1981
Maharashtra,Thane,Rice,Alluvial,River,3,19,62,2.37,2250
Tamil Nadu,Salem,Coconut,Clay,Borewell,9,29,192,69.21,25
Maharashtra,Pune,Chilli,Red,Tank,4,23,47,1.71,11335
Tamil Nadu,Coimbatore,Coconut,Sandy,River,11,25,179,50.9,28
Karnataka,Haveri,Maize,Alluvial,Borewell,4,20,33,3.54,1924
Maharashtra,Nagpur,Chilli,Laterite,River,4,25,204,1.61,11919
Tamil Nadu,Coimbatore,Tomato,Laterite,Canal,8,21,75,12.7,2110
Tamil Nadu,Salem,Coconut,Laterite,River,6,32,273,54.68,24
Karnataka,Dharwad,Coconut,Clay,Borewell,4,13,226,37.58,37
Karnataka,Mysore,Wheat,Sandy Loam,Rain-fed,5,13,138,1.44,2620
Maharashtra,Nagpur,Potato,Clay,Borewell,5,38,277,7.9,1562
Karnataka,Bangalore Urban,Wheat,Black,Tank,11,13,295,1.69,2414
Karnataka,Haveri,Chilli,Black,Rain-fed,9,19,298,1.55,17748
Karnataka,Belagavi,Rice,Sandy Loam,Rain-fed,2,19,206,2.16,2342
Tamil Nadu,Salem,Onion,Red,Borewell,7,21,267,10.07,2033
Tamil Nadu,Chennai,Potato,Sandy Loam,Rain-fed,11,15,70,13.63,1759
Karnataka,Bangalore Urban,Wheat,Loamy,Canal,7,26,193,1.21,2621
Tamil Nadu,Coimbatore,Maize,Clay,Canal,2,29,86,2.78,1937
Karnataka,Mandya,Tomato,Sandy,Rain-fed,11,21,228,9.54,2915
Karnataka,Haveri,Wheat,Red,Canal,7,18,89,1.72,2461
Karnataka,Belagavi,Rice,Sandy Loam,Borewell,9,18,253,2.19,2579
Maharashtra,Pune,Maize,Loamy,Borewell,9,29,121,3.39,2050
Tamil Nadu,Coimbatore,Potato,Clay,Rain-fed,7,13,173,15.0,1508
Tamil Nadu,Coimbatore,Coconut,Clay,River,10,14,103,35.63,30
Karnataka,Mandya,Onion,Loamy,Rain-fed,7,13,212,6.55,2049
Karnataka,Belagavi,Tomato,Black,Borewell,8,37,188,8.16,3183
Maharashtra,Nashik,Coconut,Alluvial,Canal,1,28,160,73.89,24
Maharashtra,Pune,Coconut,Laterite,Rain-fed,3,30,60,46.43,31
Tamil Nadu,Coimbatore,Chilli,Clay,Borewell,2,17,194,1.5,12185
Tamil Nadu,Madurai,Onion,Red,Rain-fed,6,25,141,7.23,2088
Maharashtra,Thane,Rice,Sandy,Tank,9,24,262,2.13,1977
Tamil Nadu,Madurai,Rice,Laterite,River,10,23,215,2.13,1966
Tamil Nadu,Madurai,Wheat,Clay,River,5,19,58,1.39,1814
Maharashtra,Nagpur,Tomato,Laterite,Rain-fed,2,22,219,10.72,2445
Karnataka,Mysore,Maize,Sandy,Rain-fed,5,38,201,1.64,2142
Maharashtra,Nagpur,Chilli,Loamy,Borewell,12,15,216,1.46,15777
Tamil Nadu,Coimbatore,Potato,Laterite,Canal,4,36,190,8.99,1515
Tamil Nadu,Coimbatore,Onion,Red,Rain-fed,2,25,230,7.46,1979
Tamil Nadu,Coimbatore,Potato,Loamy,Rain-fed,1,18,108,19.74,1881
Karnataka,Bangalore Urban,Maize,Red,Tank,8,32,230,2.67,2534
Tamil Nadu,Madurai,Chilli,Laterite,Rain-fed,2,14,255,1.26,14285
Karnataka,Mandya,Wheat,Sandy Loam,Canal,2,22,83,1.26,2614
Maharashtra,Pune,Coconut,Clay,Rain-fed,3,29,242,60.04,30
Tamil Nadu,Madurai,Coconut,Red,Canal,8,31,245,63.46,29
Tamil Nadu,Salem,Onion,Alluvial,Borewell,7,38,191,5.26,1860
Karnataka,Dharwad,Tomato,Alluvial,River,2,28,77,11.26,2494
Tamil Nadu,Madurai,Coconut,Sandy Loam,Borewell,3,17,262,45.83,29
Karnataka,Mysore,Rice,Sandy Loam,Borewell,11,26,216,2.53,2598
Tamil Nadu,Coimbatore,Potato,Sandy Loam,River,3,14,187,16.08,1521
Tamil Nadu,Coimbatore,Onion,Alluvial,Rain-fed,9,18,166,8.93,2049
Tamil Nadu,Madurai,Onion,Red,Rain-fed,9,18,209,8.15,2214
Tamil Nadu,Salem,Tomato,Loamy,Canal,7,26,112,12.6,2097
Maharashtra,Thane,Chilli,Black,Tank,11,18,46,1.48,15279
Tamil Nadu,Salem,Wheat,Loamy,River,3,21,39,1.32,2113
Tamil Nadu,Salem,Chilli,Clay,Borewell,9,14,90,1.3,15153
Maharashtra,Nashik,Potato,Alluvial,Canal,7,28,152,14.67,1686
Karnataka,Dharwad,Maize,Sandy Loam,Borewell,4,12,231,2.03,2059
Karnataka,Mandya,Wheat,Black,River,11,34,29,0.83,2990
Maharashtra,Thane,Coconut,Laterite,Rain-fed,7,19,205,47.94,26
Maharashtra,Nagpur,Rice,Loamy,Rain-fed,10,21,143,2.26,2452
Tamil Nadu,Madurai,Potato,Black,Rain-fed,1,21,185,16.81,1896
Maharashtra,Nagpur,Coconut,Loamy,River,7,20,35,53.4,25
Maharashtra,Thane,Maize,Red,River,10,27,225,3.02,2194
Maharashtra,Pune,Potato,Sandy Loam,Canal,4,36,53,9.48,1642
Tamil Nadu,Salem,Coconut,Sandy Loam,Canal,10,16,44,45.49,36
Karnataka,Belagavi,Coconut,Sandy Loam,Canal,12,34,118,57.32,43
Maharashtra,Pune,Maize,Loamy,Tank,4,17,124,2.95,1574
Maharashtra,Nashik,Onion,Clay,Tank,1,33,245,5.6,1837
Tamil Nadu,Coimbatore,Maize,Sandy,River,6,13,169,1.75,1548
Tamil Nadu,Madurai,Onion,Black,Canal,8,25,182,9.11,2167
Tamil Nadu,Chennai,Wheat,Clay,Canal,4,20,130,1.4,1948
Karnataka,Haveri,Tomato,Clay,Borewell,12,20,296,12.11,3270
Karnataka,Mandya,Wheat,Black,River,9,22,180,1.49,2652
Maharashtra,Thane,Potato,Black,Borewell,4,37,209,8.97,1899
Karnataka,Dharwad,Wheat,Alluvial,Rain-fed,8,25,134,1.18,2784
Tamil Nadu,Salem,Coconut,Sandy,Canal,6,18,223,40.61,22
Tamil Nadu,Madurai,Coconut,Red,Canal,7,28,232,63.32,22
Maharashtra,Thane,Maize,Clay,Rain-fed,8,27,42,2.29,1815
Tamil Nadu,Chennai,Wheat,Loamy,Rain-fed,4,12,219,1.73,2156
Maharashtra,Nagpur,Rice,Red,Rain-fed,5,15,208,1.81,1821
Karnataka,Bangalore Urban,Tomato,Sandy,River,4,33,57,7.47,2649
Karnataka,Mandya,Onion,Sandy Loam,Tank,3,23,105,7.86,2825
Tamil Nadu,Coimbatore,Maize,Sandy,Rain-fed,11,21,130,2.68,2084
Maharashtra,Pune,Coconut,Loamy,Rain-fed,9,12,164,33.01,30
Karnataka,Belagavi,Coconut,Loamy,Borewell,10,17,195,44.87,38
Karnataka,Mandya,Coconut,Clay,Canal,4,38,298,50.31,36
Karnataka,Mysore,Tomato,Sandy,Rain-fed,5,14,140,7.06,2582
Tamil Nadu,Chennai,Coconut,Alluvial,Tank,8,21,145,51.8,29
Karnataka,Haveri,Wheat,Red,Tank,12,32,30,0.74,2847
Karnataka,Dharwad,Onion,Clay,Tank,11,34,53,5.09,3019
Tamil Nadu,Madurai,Maize,Alluvial,River,9,13,84,2.38,2056
Tamil Nadu,Chennai,Rice,Loamy,Tank,5,29,213,2.34,1756
Karnataka,Bangalore Urban,Wheat,Sandy,Tank,7,35,102,0.49,2024
Maharashtra,Pune,Coconut,Clay,Tank,7,20,103,47.61,29
Karnataka,Belagavi,Chilli,Red,Borewell,6,35,108,1.55,13989
Tamil Nadu,Madurai,Wheat,Alluvial,Borewell,6,20,257,1.5,2104
Maharashtra,Thane,Potato,Sandy,Canal,1,36,295,8.23,1458
Maharashtra,Nashik,Wheat,Loamy,Tank,3,20,110,1.59,2370
Maharashtra,Pune,Wheat,Red,Canal,9,18,230,1.74,2232
Karnataka,Belagavi,Chilli,Alluvial,Tank,3,25,174,1.76,14729
Maharashtra,Nagpur,Maize,Laterite,Tank,11,12,120,1.93,2294
Karnataka,Belagavi,Wheat,Laterite,Rain-fed,6,32,231,0.73,2421
Tamil Nadu,Madurai,Maize,Alluvial,Rain-fed,7,35,155,2.14,1829
Karnataka,Mandya,Tomato,Alluvial,River,6,21,25,12.54,3030
Tamil Nadu,Madurai,Tomato,Alluvial,Canal,10,28,205,13.69,2852
Karnataka,Bangalore Urban,Rice,Sandy Loam,Canal,10,27,298,2.6,2796
Tamil Nadu,Salem,Tomato,Alluvial,Borewell,5,37,101,8.1,2479
Karnataka,Dharwad,Onion,Laterite,River,7,31,93,5.85,2277
Maharashtra,Nashik,Maize,Loamy,River,2,35,284,2.15,1752
Maharashtra,Pune,Maize,Sandy,River,7,38,46,1.62,1807
Karnataka,Bangalore Urban,Tomato,Laterite,Tank,8,16,121,8.38,3251
Tamil Nadu,Madurai,Tomato,Red,Canal,8,13,211,8.99,2472
Maharashtra,Nagpur,Wheat,Loamy,Canal,8,29,98,1.11,2321
Karnataka,Haveri,Coconut,Sandy Loam,Canal,2,26,126,64.02,39
Karnataka,Dharwad,Chilli,Loamy,Canal,7,20,266,1.75,14736
Maharashtra,Nagpur,Onion,Sandy Loam,Tank,12,38,28,4.23,2240
Maharashtra,Pune,Potato,Alluvial,River,3,32,196,10.7,1729
Maharashtra,Nagpur,Onion,Black,Borewell,1,28,255,8.36,2365
Maharashtra,Nagpur,Chilli,Black,Canal,8,37,191,1.37,12850
Karnataka,Haveri,Chilli,Alluvial,Canal,4,29,188,2.09,16903
Karnataka,Mysore,Wheat,Black,Tank,5,27,39,1.1,2485
Tamil Nadu,Madurai,Rice,Alluvial,Borewell,5,12,139,1.93,1671
Maharashtra,Thane,Coconut,Sandy Loam,Rain-fed,11,25,203,53.03,35
Tamil Nadu,Madurai,Chilli,Laterite,Tank,1,21,86,1.48,13015
Maharashtra,Pune,Tomato,Loamy,Borewell,12,37,120,8.96,2965
Tamil Nadu,Coimbatore,Potato,Sandy Loam,Rain-fed,6,31,272,10.41,1672
Karnataka,Belagavi,Onion,Laterite,Rain-fed,4,28,276,7.04,2611
Maharashtra,Pune,Rice,Alluvial,River,7,23,191,2.72,1967
Tamil Nadu,Madurai,Coconut,Alluvial,River,1,19,209,52.99,31
Karnataka,Mandya,Coconut,Black,Tank,12,14,241,40.07,39
Tamil Nadu,Coimbatore,Wheat,Red,Borewell,5,32,30,0.91,2080
Karnataka,Bangalore Urban,Coconut,Alluvial,Canal,1,27,287,70.88,34
Tamil Nadu,Madurai,Wheat,Sandy Loam,Tank,6,30,204,0.84,1700
Karnataka,Haveri,Chilli,Clay,Borewell,11,34,182,1.6,17428
Maharashtra,Thane,Maize,Alluvial,River,10,22,267,3.42,2104
Maharashtra,Nagpur,Tomato,Sandy,River,10,33,76,8.07,2534
Maharashtra,Pune,Chilli,Black,Canal,2,14,94,1.35,12206
Karnataka,Bangalore Urban,Potato,Clay,River,2,28,36,12.39,1851
Maharashtra,Nagpur,Chilli,Alluvial,Canal,2,35,186,1.66,14129
Maharashtra,Pune,Potato,Clay,Rain-fed,12,26,109,13.63,1815
Maharashtra,Nashik,Chilli,Loamy,Canal,6,20,141,1.91,13750
Karnataka,Haveri,Maize,Laterite,River,3,34,207,2.44,1920
Karnataka,Haveri,Tomato,Red,River,8,23,71,12.1,2495
Tamil Nadu,Chennai,Rice,Loamy,Borewell,2,19,185,2.57,2177
Tamil Nadu,Coimbatore,Maize,Loamy,River,12,33,293,2.34,2315
